genes,NK_58,NK_59,NK_60,NK_61,NK_62,NK_63,NK_64,NK_65,NK_66,NK_70,NK_71,NK_72,NK_73,NK_74,NK_75,NK_76,NK_77,NK_78,NK_82,NK_83,NK_84,NK_85,NK_86,NK_87,NK_88,NK_89,NK_90
ABCA17P,29.07991278,34.81071664,33.81948386,9.611812053,22.52654978,22.25882785,21.34530014,7.375030972,23.19929014,29.81134304,38.59979755,28.22521342,32.34978128,38.4089743,54.08031448,25.96752007,26.31865703,28.51970642,26.01998751,12.93014701,23.5581307,14.93100633,15.8348097,35.24294975,28.13543405,17.93817199,16.32568435
ABCA2,443.661838,374.2932572,467.5966965,311.989568,301.5078593,455.7320443,364.9326296,299.0944936,426.951702,483.5540284,450.8295359,431.471188,425.5884921,384.4856746,450.7075485,376.7432887,394.8637455,483.7245992,416.1744739,431.4627578,473.141127,361.3098347,391.6195835,441.5452055,457.0301719,398.7009532,519.1880763
ABCA3,117.9066238,78.32674529,107.6595419,76.05622062,94.30072959,114.6910327,98.81713767,82.09114822,80.24184749,133.0543033,90.88629314,104.2630208,78.29854854,110.686727,104.5565047,133.2396201,99.05189975,109.8018268,129.840284,63.55385865,145.0052674,81.70287433,69.11407867,155.2207778,160.6363142,78.64284655,92.14433484
ABCA5,1130.622684,1279.601414,956.538508,942.815106,956.4640151,1004.782309,956.5691142,782.4410564,980.8171463,980.8909638,987.5671595,1125.018411,938.1182904,937.3309007,1044.168018,1033.366564,1016.004452,855.521066,901.3987279,928.552124,814.0373061,774.0556558,768.0178288,887.4016315,913.9928808,631.5370411,924.6394969
ABCA6,15.35342576,10.49193652,8.726120181,7.827077296,12.83261983,12.90240078,21.55174304,15.82497378,15.72247228,16.76977948,10.36223169,29.31123354,8.668572917,20.25161958,8.920231332,12.53944161,21.60893254,20.94017603,9.100142013,11.97067677,9.457144084,8.725168492,12.6147757,13.33224901,10.83807917,10.71040949,11.29821963
ABCA7,31.49297493,80.94205598,38.75115832,36.46367571,49.92983079,30.18197413,40.16673179,53.40592584,99.96988336,40.48402379,93.87625223,46.49683599,48.35459121,40.12034992,19.00129838,54.68874118,61.95257543,85.34279996,35.99382354,54.78830338,36.76779942,45.30702245,35.87197597,39.80281862,39.18794756,33.93924847,60.39711108
ABCA8,6.329766137,15.02844443,13.69713771,7.296929843,16.44251604,10.47915671,7.43384631,8.58209308,2.754056902,18.05553562,3.623464757,7.145604541,3.613538113,6.379758413,8.953061066,2.600033352,5.579105825,3.898659006,7.941404716,3.042092907,15.25717232,4.6182539,4.074879754,2.811369503,9.434587706,15.31726956,14.23438687
ABCA9,23.94821988,38.50609585,27.23298877,22.86719987,18.73694371,15.75261841,22.79996372,26.06555429,18.32074115,32.18543934,24.36190792,17.48546879,14.27295602,13.39413677,17.17870454,31.56582525,13.72913773,37.98518236,19.30733427,18.70384813,28.88752928,19.6212192,22.79786638,11.9832961,20.19669499,27.11286375,21.96097606
ABCB1,17.44330663,6.565154142,16.42059798,14.45009043,15.43554752,16.58437219,20.9553785,5.259881301,15.38814731,26.66986893,24.42006275,21.14715419,10.0233063,23.24421179,21.24541996,26.57283641,24.158946,22.74027214,23.84992299,36.92536385,18.57767896,29.01424316,30.50827119,26.03811646,31.74338139,17.7656816,30.81942924
ABCB10,250.212396,199.2227498,205.0972578,262.5274438,262.9219344,226.8260174,231.6777862,232.2298092,228.457024,208.0621764,229.6147541,213.9400412,258.3827628,238.2296161,210.159176,255.3472451,246.9722571,228.1721229,240.6030601,219.7321316,236.4171673,269.552852,238.7161065,242.0571833,252.3609031,249.6631323,209.2552643
ABCB5,3.681849677,7.690122703,15.27626107,7.46628043,4.679459386,4.216042652,8.076480384,5.450879293,5.247956138,10.12705832,8.898863249,5.207934238,8.502973386,6.544913034,4.943148968,4.088583436,7.742331907,4.969379725,4.417928075,8.998947546,2.715457213,4.573043028,8.455432418,8.331991437,12.54683454,3.851944711,8.204701626
ABCB6,255.675181,672.764174,233.1777895,296.6873044,310.9432857,257.1320174,243.035145,407.5667671,696.0017937,318.8693848,471.7024353,342.6304323,320.5163241,345.7157949,367.8867242,310.3647249,353.6272499,507.8665993,251.882751,548.2740561,255.6372846,285.4578825,368.9200017,201.5745657,250.1369693,262.7874918,617.1395175
ABCB7,1183.894102,942.519902,957.6606961,996.8023783,964.2353595,1010.472403,997.0099417,1041.340518,930.5444711,941.776606,855.9952757,1306.616303,995.7139559,940.6862445,1052.652535,1111.376146,1094.387314,888.2716688,937.2054656,1096.349291,985.6993315,929.2343002,965.2236849,962.4257554,1039.516238,896.2326776,1179.72913
ABCB8,55.38220647,75.96899949,84.21306062,78.77430956,60.00340018,71.38019933,53.77806436,57.36299445,67.55226518,65.39997508,58.69796121,41.01912528,54.75097383,62.29781739,45.1679721,50.99573106,57.79776743,52.25680118,83.29622689,68.85925512,69.13655687,89.46614515,81.99549736,77.73131453,63.52699009,88.99905071,61.51633728
